"city","date","day.of.week","time","time.hour","lat","lng","subject.age","subject.race","subject.sex","violation","vehicle.make","outcome"
"chicago","2018-07-06","Friday","15:38:00",15.6333333333333,41.7692680910001,-87.626750957,18,"black","male","IVC - NOT WEARING SEAT BELT/DRIVER","chevrolet",NA
"chicago","2018-05-16","Wednesday","20:54:00",20.9,41.8625108040001,-87.692406588,21,"black","male","NO VALID REGISTRATION","honda",NA
"chicago","2019-12-28","Saturday","14:25:00",14.4166666666667,41.941809161,-87.7970613369999,25,"white","male","DISOBEY LANE MARKINGS","other",NA
"chicago","2018-12-21","Friday","12:41:00",12.6833333333333,41.881959339,-87.617032631,51,"black","female","IVC - DRIVING 21-25 MPH ABOVE SPEED LIMIT","ford",NA
"chicago","2019-02-23","Saturday","21:43:00",21.7166666666667,41.891701675,-87.629396064,19,"black","female","LIGHT, TAIL LIGHTS REQUIRED","other",NA
"chicago","2019-06-10","Monday","12:48:00",12.8,41.8807848980001,-87.725594702,64,"black","male","IVC - NOT WEARING SEAT BELT/DRIVER","ford",NA
"chicago","2018-08-20","Monday","01:10:00",1.16666666666667,41.8923737000001,-87.629293616,28,"black","male","NO VALID REGISTRATION","chevrolet",NA
"chicago","2019-08-07","Wednesday","16:25:00",16.4166666666667,41.8809572430001,-87.6507757649999,26,"black","male","STOP AT STOP SIGN","other",NA
"chicago","2018-08-01","Wednesday","21:16:00",21.2666666666667,41.8820783090001,-87.629550692,46,"black","female","LIGHT, LICENSE PLATE","other",NA
"chicago","2018-12-08","Saturday","23:15:00",23.25,41.888681944,-87.746820712,36,"white","male","NO TURN SIGNALS-VIOLATION","toyota",NA
"chicago","2018-07-07","Saturday","19:34:00",19.5666666666667,41.8813900380001,-87.688535985,29,"white","male","STOP AT STOP SIGN","other",NA
"chicago","2019-02-07","Thursday","07:23:00",7.38333333333333,41.7980542000001,-87.6256571279999,34,"black","female","DRIVING WHILE USING CELLULAR PHONE PROHIBITED","chevrolet",NA
"chicago","2018-07-24","Tuesday","17:38:00",17.6333333333333,41.896332,-87.6303809999999,23,"hispanic","male","REGISTRATION PLATES","other",NA
"chicago","2019-02-17","Sunday","00:50:00",0.833333333333333,41.880309525,-87.66673314,29,"black","male","OPERATOR SIGNAL- MEANS","other",NA
"chicago","2019-01-21","Monday","15:59:00",15.9833333333333,41.8803326930001,-87.764963371,22,"black","female","LIGHT, TAIL LIGHTS REQUIRED","chevrolet",NA
"chicago","2019-02-24","Sunday","16:51:00",16.85,41.9052060000001,-87.663903874,26,"hispanic","female","STOP AT STOP SIGN","other",NA
"chicago","2019-03-27","Wednesday","21:05:00",21.0833333333333,41.8093830390001,-87.6168405009999,80,"black","male","LIGHT, TAIL LIGHTS REQUIRED","other",NA
"chicago","2018-12-04","Tuesday","00:14:00",0.233333333333333,41.880896346,-87.728162603,19,"hispanic","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","ford",NA
"chicago","2019-08-15","Thursday","20:41:00",20.6833333333333,41.911102779,-87.631046963,40,"white","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","toyota",NA
"chicago","2019-09-06","Friday","00:47:00",0.783333333333333,41.8799922000001,-87.6863306399999,58,"black","male","HEADLAMPS, REFLECTORS AND BRAKES","chevrolet",NA
"chicago","2018-02-14","Wednesday","00:56:00",0.933333333333333,41.880651072,-87.627688112,25,"black","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","chevrolet",NA
"chicago","2018-09-25","Tuesday","09:46:00",9.76666666666667,41.8402980000001,-87.6119894999999,23,"black","male","SEAT SAFETY BELT-FRONT SEAT","honda",NA
"chicago","2019-02-12","Tuesday","18:39:00",18.65,41.8809567760001,-87.64728755,33,"black","female","SEAT SAFETY BELT-FRONT SEAT","other",NA
"chicago","2018-11-12","Monday","23:04:00",23.0666666666667,41.7025685030001,-87.5352773709999,32,"hispanic","female","LIGHT, TAIL LIGHTS REQUIRED","other",NA
"chicago","2018-03-12","Monday","00:59:00",0.983333333333333,41.880654,-87.7086854999999,23,"black","female","STOP AT STOP SIGN","toyota",NA
"chicago","2020-03-10","Tuesday","12:14:00",12.2333333333333,41.942675299,-87.648636878,26,"white","male","REGISTRATION PLATES","honda",NA
"chicago","2019-01-11","Friday","21:13:00",21.2166666666667,41.8805424610001,-87.725586286,14,"black","male","ELECTRONIC COMMU DEVICE/2+","chevrolet",NA
"chicago","2018-03-31","Saturday","09:25:00",9.41666666666667,41.880316936,-87.7549979999999,28,"black","male","STOP AT STOP SIGN","other",NA
"chicago","2019-10-01","Tuesday","10:05:00",10.0833333333333,41.9210101630001,-87.7119885059999,22,"hispanic","female","REGISTRATION PLATES","other",NA
"chicago","2019-04-12","Friday","09:52:00",9.86666666666667,41.8093830390001,-87.6168405009999,67,"black","female","DISOBEY RED CIRCULAR STEADY SIGNAL STOP","other",NA
"chicago","2018-12-10","Monday","02:45:00",2.75,41.904008155,-87.6304524509999,30,"black","male","U-TURN 100FT INTERSECTION","other",NA
"chicago","2020-01-03","Friday","21:00:00",21,41.880377122,-87.764967073,37,"black","male","LIGHT HEADLIGHTS SUNSET/SUNUP","chevrolet",NA
"chicago","2019-11-13","Wednesday","23:45:00",23.75,41.809286123,-87.712032833,24,"hispanic","male","LIGHT, LICENSE PLATE","other",NA
"chicago","2020-01-22","Wednesday","17:46:00",17.7666666666667,41.882331396,-87.624543984,52,"black","female","DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR","other",NA
"chicago","2019-11-21","Thursday","17:51:00",17.85,41.896332,-87.6303495,54,"white","female","BROKEN/INOPERABLE LAMPS","other",NA
"chicago","2019-12-12","Thursday","22:20:00",22.3333333333333,41.9067489830001,-87.6651725729999,29,"black","male","DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR","other",NA
"chicago","2018-03-23","Friday","02:05:00",2.08333333333333,41.880553988,-87.652035519,20,"black","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","ford",NA
"chicago","2019-11-05","Tuesday","19:45:00",19.75,41.8821526840001,-87.70372207,55,"hispanic","female","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","honda",NA
"chicago","2019-08-10","Saturday","21:35:00",21.5833333333333,41.8625108040001,-87.692406588,24,"hispanic","male","LIGHT, TAIL LIGHTS REQUIRED","toyota",NA
"chicago","2018-10-26","Friday","06:34:00",6.56666666666667,41.7726280070001,-87.6270410939999,31,"black","female","STOP AT STOP SIGN","other",NA
"chicago","2018-05-20","Sunday","17:28:00",17.4666666666667,41.896735176,-87.630243772,26,"black","male","DISPLAY ST REG-FRONT/REAR","other",NA
"chicago","2018-09-22","Saturday","00:02:00",0.0333333333333333,41.8814550000001,-87.69625314,32,"white","female","BLIND PERSON - YIELD TO","ford",NA
"chicago","2018-06-30","Saturday","12:31:00",12.5166666666667,41.8955738500001,-87.6301086139999,62,"black","male","DISPLAY ST REG-FRONT/REAR","chevrolet",NA
"chicago","2019-09-21","Saturday","17:52:00",17.8666666666667,41.715338014,-87.564591,41,"black","male","SEAT SAFETY BELT-FRONT SEAT","chevrolet",NA
"chicago","2019-06-05","Wednesday","12:54:00",12.9,41.8810500000001,-87.7060541399999,37,"black","female","LIGHT, LICENSE PLATE","other",NA
"chicago","2019-03-25","Monday","19:57:00",19.95,41.698759296,-87.6589890269999,34,"black","male","STOP AT STOP SIGN","chevrolet",NA
"chicago","2019-10-20","Sunday","00:27:00",0.45,41.8816572960001,-87.681485085,39,"hispanic","male","NO TURN SIGNALS-VIOLATION","other",NA
"chicago","2019-04-10","Wednesday","19:15:00",19.25,41.8805595000001,-87.67667586,26,"hispanic","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","honda",NA
"chicago","2020-01-15","Wednesday","11:24:00",11.4,41.6485252950001,-87.5593305,32,"hispanic","female","DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR","other",NA
"chicago","2018-04-18","Wednesday","09:58:00",9.96666666666667,41.8822178980001,-87.617365568,20,"black","male","IVC - DRIVING 21-25 MPH ABOVE SPEED LIMIT","honda",NA
"chicago","2018-03-21","Wednesday","19:51:00",19.85,41.750878529,-87.6259618729999,40,"black","male","REGISTRATION PLATES","other",NA
"chicago","2018-09-19","Wednesday","00:28:00",0.466666666666667,41.9025740320001,-87.723838214,33,"hispanic","male","STOP AT STOP SIGN","toyota",NA
"chicago","2018-01-22","Monday","18:06:00",18.1,41.783440558,-87.630198251,31,"black","male","NO TURN SIGNALS-VIOLATION","other",NA
"chicago","2019-01-08","Tuesday","14:43:00",14.7166666666667,41.8165637860001,-87.626066732,71,"black","male","SEAT SAFETY BELT-FRONT SEAT","other",NA
"chicago","2020-01-23","Thursday","18:27:00",18.45,41.69260753,-87.68978957,31,"hispanic","female","LIGHT, LICENSE PLATE","toyota",NA
"chicago","2019-12-04","Wednesday","17:56:00",17.9333333333333,41.925231,-87.662095127,53,"hispanic","male","OBSTRUCTION DRIVERS VIEW","toyota",NA
"chicago","2019-01-15","Tuesday","23:52:00",23.8666666666667,41.7862305,-87.63644025,27,"black","male","DIMMING HEADLIGHTS REQUIRED","other",NA
"chicago","2018-12-11","Tuesday","16:28:00",16.4666666666667,41.8811588410001,-87.676695395,54,"black","female","DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR","other",NA
"chicago","2018-04-03","Tuesday","23:20:00",23.3333333333333,41.880669196,-87.73785388,22,"black","female","STOP AT STOP SIGN","other",NA
"chicago","2018-07-24","Tuesday","20:18:00",20.3,41.881626,-87.6937635,30,"black","male","STOP AT STOP SIGN","other",NA
"chicago","2018-07-09","Monday","21:30:00",21.5,41.7656026170001,-87.625871883,38,"black","female","EXPIRATION OF REGISTRATION","other",NA
"chicago","2019-06-18","Tuesday","10:22:00",10.3666666666667,41.879877089,-87.725565165,24,"hispanic","male","LIGHT, TAIL LIGHTS REQUIRED","toyota",NA
"chicago","2019-11-20","Wednesday","03:55:00",3.91666666666667,41.7208961520001,-87.585130482,30,"black","male","LIGHT, LICENSE PLATE","other",NA
"chicago","2019-03-31","Sunday","22:50:00",22.8333333333333,41.881934405,-87.629152161,23,"black","female","INADEQUATE HEADLAMPS","other",NA
"chicago","2019-01-22","Tuesday","23:14:00",23.2333333333333,41.9489673940001,-87.658940577,51,"black","male","OPERATOR SIGNAL REQUIRED 100FT OF TURN","toyota",NA
"chicago","2018-08-03","Friday","09:02:00",9.03333333333333,41.8807249380001,-87.624522277,72,"black","male","SEAT SAFETY BELT-FRONT SEAT","other",NA
"chicago","2019-12-09","Monday","23:25:00",23.4166666666667,41.809518,-87.607300831,41,"black","female","LIGHT HEADLIGHTS SUNSET/SUNUP","other",NA
"chicago","2020-02-11","Tuesday","15:20:00",15.3333333333333,41.8806469640001,-87.651924606,27,"black","male","BROKEN OR INOPERABLE LAMPS/BROKEN OR CRACKED GLASS","chevrolet",NA
"chicago","2018-03-16","Friday","00:25:00",0.416666666666667,41.816546972,-87.621407699,53,"black","female","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","chevrolet",NA
"chicago","2018-12-09","Sunday","18:02:00",18.0333333333333,41.8809851340001,-87.6278159029999,35,"black","female","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2019-03-24","Sunday","18:47:00",18.7833333333333,41.880144804,-87.708397341,63,"hispanic","male","NO TURN SIGNALS-VIOLATION","other",NA
